filename_i,date,citedby_count
1,2017-12-31,0
2,2017-12-31,0
3,2017-12-31,2
4,2017-12-31,0
5,2017-12-31,10
6,2017-12-31,0
7,2017-12-31,0
8,2017-12-31,3
9,2017-12-31,2
10,2017-12-31,1
11,2017-12-31,0
12,2017-12-31,0
13,2017-12-31,0
14,2017-12-31,0
15,2017-12-31,0
16,2017-12-31,1
17,2017-12-31,1
18,2017-12-31,0
19,2017-12-31,1
20,2017-12-31,0
21,2017-12-31,0
22,2017-12-31,1
23,2017-12-31,0
24,2017-12-31,0
25,2017-12-31,1
26,2017-12-31,0
27,2017-12-31,1
28,2017-12-31,0
29,2017-12-31,0
30,2017-12-31,0
31,2017-12-31,1
32,2017-12-31,0
33,2017-12-31,0
34,2017-12-31,0
35,2017-12-31,0
36,2017-12-31,0
37,2017-12-31,0
38,2017-12-31,0
39,2017-12-31,0
40,2017-12-31,0
41,2017-12-31,0
42,2017-12-31,1
43,2017-12-31,0
44,2017-12-31,0
45,2017-12-31,0
46,2017-12-31,0
47,2017-12-31,0
48,2017-12-31,1
49,2017-12-31,1
50,2017-12-31,0
51,2017-12-31,1
52,2017-12-31,11
53,2017-12-31,7
54,2017-12-31,5
55,2017-12-31,5
56,2017-12-31,0
57,2017-12-31,3
58,2017-12-31,20
59,2017-12-31,27
60,2017-12-31,37
61,2017-12-31,22
62,2017-12-31,48
63,2017-12-31,63
64,2017-12-31,49
65,2017-12-31,0
66,2017-12-31,32
67,2017-12-31,4
68,2017-12-31,119
69,2017-12-31,17
70,2017-12-31,55
71,2017-12-31,16
72,2017-12-31,25
73,2017-12-31,11
74,2017-12-31,4
75,2017-12-31,97
76,2017-12-31,79
77,2017-12-31,32
78,2017-12-31,28
79,2017-12-31,8
80,2017-12-31,20
81,2017-12-31,26
82,2017-12-31,17
83,2017-12-31,64
84,2017-12-31,48
85,2017-12-31,27
86,2017-12-31,233
87,2017-12-31,116
88,2017-12-31,89
89,2017-12-31,73
90,2017-12-31,21
91,2017-12-31,30
92,2017-12-31,27
93,2017-12-31,32
94,2017-12-31,27
95,2017-12-31,21
96,2017-12-31,16
97,2017-12-31,38
98,2017-12-31,40
99,2017-12-31,8
100,2017-12-31,41
101,2017-12-31,53
102,2017-12-31,58
103,2017-12-31,39
104,2017-12-31,45
105,2017-12-31,43
106,2017-12-31,57
107,2017-12-31,55
108,2017-12-31,30
109,2017-12-31,48
110,2017-12-31,1
111,2017-12-31,103
112,2017-12-31,17
113,2017-12-31,65
114,2017-12-31,35
115,2017-12-31,25
116,2017-12-31,33
117,2017-12-31,27
118,2017-12-31,5
119,2017-12-31,13
