file,citation_title,abstracts,authors,affiliations,classifications,subject_area_name
1.html,"Mödruvallabók, AM 132 Fol.: Volume One: Index and Concordance","The ultimate goal of the Modruvallabok Project is a description of the language in Modruvallabok. Publication of a survey of the orthography and morphology is planned for the not too distant future. It was deemed, however, to be in the interest of Old Icelandic research that the concordance and index should be made available to the public as soon as possible. As an index or concordance to an -practically -unavailable text is an absurdity, it was decided to include the transcription of the text as well. Of course, the publication will come into its own only when more texts have been treated in the same way and comparison, both synchronic and diachronic, has become possible. It is hoped, however, that the study of Old Icelandic will already now profit from this work. Users are kindly requested to forward details to the publisher of any errors they may discover in the text and index. © 1987 by E. J. Brill, Leiden, The Netherlands. All rights reserved.",Arkel-de Leeuw van Weenen Andrea van,-,-,-
10.html,Energy and society,-,-,-,-,-
100.html,PAHs in polystyrene food contact materials: An unintended consequence,"Eight low-ring PAHs were detected in 21 polystyrene (PS) food contact materials (FCMs) samples while high-ring PAHs (> 4 rings) were not found. This is because the reaction pathway for formation of high-ring PAHs consists of more steps than it does for low-high PAHs. The concentrations of Σ8PAH were from 18.9 ± 5.16 ng/g for product colorless fruit fork to 476 ± 52.0 ng/g for foam instant noodle container. These data were far beyond levels of PAHs in other plastics. Of the eight PAHs detected, Phe had the highest average concentration, followed by Nap. These two PAHs collectively accounted for over 80% of the Σ8PAH concentrations in all PS FCMs. Levels of Σ8PAH in expanded PS FCMs were higher than those in extruded ones due to utilization of foaming agent. The concentrations of Σ8PAH were lower in colorless PS FCMs than in colored ones. Auxochromes and chromophores contributed to the change of short-chain hydrocarbons to aromatic hydrocarbon. Simulated migration values of PAHs from PS FCMs to food varied widely. The migration value of Σ8PAH with maximum probability was below 10 ng/g, which the maximum tolerated migration level for substance according to the European Union standards. However, higher migration values were possible and the potential health risk should still be concerned because the simulated migration displayed a log-normal distribution. Furthermore, water was used as food simulant would always lead to an underestimate of PAHs migration to real daily food, and then lead to an underestimate of risk. © 2017 Elsevier B.V.",Li Si-Qi; Ni Hong-Gang; Zeng Hui,Shenzhen Key Laboratory of Circular Economy\Shenzhen Graduate School\China,-,Food contact material; Migration; PAH; Polystyrene; Potential health risk
1000.html,"Techniques in international law-making: Extrapolation, analogy, form and the emergence of an international law of disaster relief","This article traces the emergence of an international law of disaster relief from a patchwork of norms through to a holistic body of international law. It argues that, for many years, the international law of disaster relief existed in piecemeal fashion. Since there is no overarching treaty on the subject at the global level, a hodgepodge of instruments have been concluded, namely subject-specific and disaster-specific treaties at the global level, regional and sub-regional agreements, bilateral agreements as well as soft law. However, through the work of the International Law Commission and the International Federation of the Red Cross and Red Crescent, a holistic body of international law relating to disaster relief is in the process of emerging. This article argues that this holistic body is emerging primarily as a result of three techniques that, while unconventional, are used relatively frequently in the making of international law. The three techniques are: (i) extrapolation from a series of piecemeal instruments to form a generalized standard; (ii) the use of analogy and (iii) the conclusion of instruments that are soft in form but contain a mixture of hard law and soft law. The way in which the techniques have been used to develop a body of international law relating to disaster relief is analysed, their use in other fields of international law discussed and limitations on their use in the disaster law context identified. © The Author(s), 2018. Published by Oxford University Press on behalf of EJIL Ltd. All rights reserved.",Sivakumaran Sandesh,Public International Law\University of Nottingham\United Kingdom,-,-
1001.html,The responsibility to protect beyond borders in the Law of Nature and Nations,"While histories of human rights have proliferated in recent decades, little attention has been given to the history of thinking about duties to protect these rights beyond sovereign borders. We have a good understanding of the history of duties of sovereign states to ensure the safety and well-being of their own citizens and of the right of other states to forcefully intervene when these duties are violated. But the story of the development of thinking about duties to assist and protect the vulnerable beyond borders remains to be told. This article defends the importance of excavating and examining past thinking about these duties. It then sketches key aspects of Western natural law thinking about such duties, from Francisco de Vitoria through to Immanuel Kant, claiming that such study holds the promise of exposing from where ideas that prevail in international law and politics have come and retrieving alternative ideas that have been long forgotten but that may reward renewed consideration. It concludes by briefly outlining how three such retrieved ideas might be of particular use for those seeking to push international law and politics in a more just direction today. © The Author(s), 2018. Published by Oxford University Press on behalf of EJIL Ltd. All rights reserved.",Glanville Luke,Department of International Relations\Australian National University\Australia,-,-
1002.html,Editorial,-,-,-,-,-
1003.html,Winners and losers of the plurality of international courts and tribunals: Afterword to Laurence boisson de Chazournes' foreword,"By asking about 'winners and losers', this reply questions the preference of states for a plurality of international courts and tribunals, challenges the coherence of the international legal order as a dominant rationale for judicial actors to coordinate, and raises doubts about their overall success in managing plurality. It argues that their coordinating efforts have to be understood as reactive rather than proactive steps in a complex decision-making environment in which litigants, their lawyers, and domestic courts play a significant but underappreciated role. While it is true that some coordination between judicial actors exists, it remains to be seen whether the 'threads of a managerial approach' amount to more than thin, singular, and often random strings that will develop into dense, resilient, and predictable webs of international jurisprudence. © The Author(s), 2018. Published by Oxford University Press on behalf of EJIL Ltd. All rights reserved.",Streinz Thomas,Institute for International Law and Justice\New York University School of Law\United States,-,-
1004.html,"The curious case of Singapore's BIA desertion trials: War crimes, projects of empire and the rule of law","This article critically analyses a set of war crimes trials, conducted by the British colonial authorities in post-World War II Singapore, which dealt, among others, with the contentious issue of deserting British Indian Army soldiers. While seemingly obscure, these trials illuminate important lessons about rule of law dynamics in war crimes trials. Although these trials were intended by their organizers to facilitate the return of British colonial rule, they resulted in unexpected acquittals and conviction non-confirmations. On the one hand, by applying British military law as a back-up source of law when prosecuting 'violations of the laws and usages of war', the British contravened the rule of law by retrospectively subjecting the Japanese defence to unfamiliar legal standards. On the other hand, by binding themselves to a pre-existing and relatively clear source of law, the British were constrained by the rule of law even as this empowered the Japanese defence. These findings speak to broader debates on the challenges of developing international criminal law, by provocatively suggesting that, from a rule of law perspective, what is most important in a body of law is its clarity, accessibility and comprehensiveness rather than its source or its purported 'universality'. © The Author(s), 2018. Published by Oxford University Press on behalf of EJIL Ltd. All rights reserved.",-,Faculty of Law\National University of Singapore\Singapore,-,-
1005.html,Does exposure to preparatory work affect treaty interpretation? An experimental study on international law students and experts,"Ample research has demonstrated that exposure to inadmissible evidence affects decision making in criminal and civil cases. However, the difficulty of ignoring information in the context of legal interpretation has not been examined yet. Our study addresses the possible effects that exposure to preparatory work has on the interpretation of treaties. In the present article, we examine the ability of students enrolled in international law courses and of international law experts to ignore preparatory work when they are not allowed to use it. We found that exposure to preparatory work affected the students' interpretation of treaties, while no such effect was found among the experts. These results reaffirm the practical relevance of the debate over the hierarchy between the rules of treaty interpretation. In particular, our study demonstrates that preparatory work can play a significant role in decision making, depending on the legal rule that applies to the use of such materials. More generally, our study suggests that legal interpretation by students and experts is qualitatively different and that international law experts might be better able than non-experts to discount irrelevant information in the process of treaty interpretation. © The Author(s), 2018. Published by Oxford University Press on behalf of EJIL Ltd. All rights reserved.",Shereshevsky Yahli; Noah Tom,University of Michigan Law School\Ann Arbor\United States; Department of Psychology\Hebrew University of Jerusalem\Israel,-,-
1006.html,"Space, Time, and the Female Body: Homer's Penelope in Margaret Atwood's the Penelopiad (2005)",-,Massoura Kiriaki,Northumbria University\Newcastle Upon Tyne\United Kingdom,-,-
