filename_i,citedby_count
1,0
2,0
3,2
4,0
5,10
6,0
7,0
8,3
9,2
10,1
11,0
12,0
13,0
14,0
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,0
24,0
25,1
26,0
27,1
28,0
29,0
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,1
49,1
50,0
51,1
52,11
53,7
54,5
55,5
56,0
57,3
58,20
59,27
60,37
61,22
62,48
63,63
64,49
65,0
66,32
67,4
68,119
69,17
70,55
71,16
72,25
73,11
74,4
75,97
76,79
77,32
78,28
79,8
80,20
81,26
82,17
83,64
84,48
85,27
86,233
87,116
88,89
89,73
90,21
91,30
92,27
93,32
94,27
95,21
96,16
97,38
98,40
99,8
100,41
101,53
102,58
103,39
104,45
105,43
106,57
107,55
108,30
109,48
110,1
111,103
112,17
113,65
114,35
115,25
116,33
117,27
118,5
119,13
120,30
121,49
122,9
123,360
124,48
125,27
126,22
127,58
128,16
129,15
130,84
131,1
132,9
133,11
134,28
135,9
136,10
137,6
138,96
139,50
140,30
141,29
142,21
143,295
144,39
145,175
146,125
147,15
148,20
149,36
150,24
151,39
152,42
153,42
154,58
155,243
156,78
157,9
158,12
159,66
160,77
161,61
162,56
163,20
164,36
165,15
166,70
167,5
168,30
169,26
170,54
171,14
172,6
173,67
174,41
175,32
176,35
177,61
178,37
179,15
180,38
181,105
182,6
183,14
184,26
185,53
186,89
187,39
188,8
189,11
190,38
191,13
192,30
193,53
194,14
195,12
196,5
197,30
198,100
199,16
200,87
201,10
202,4
203,23
204,52
205,81
206,37
207,5
208,25
209,24
210,13
211,26
212,63
213,6
214,9
215,205
216,22
217,69
218,7
219,52
220,157
221,1
222,57
223,2
224,23
225,20
226,32
227,33
228,17
229,7
230,14
231,48
232,87
233,69
234,2
235,25
236,94
237,83
238,27
239,11
240,13
241,20
242,33
243,53
244,103
245,12
246,29
247,16
248,14
249,20
250,4
251,1
252,130
253,123
254,29
255,7
256,47
257,28
258,232
259,94
260,23
261,106
262,3
263,23
264,66
265,20
266,339
267,5
268,28
269,4
270,23
271,75
272,38
273,25
274,252
275,27
276,21
277,132
278,27
