title,author,journal,year,abstract,url,citations
Integrating scientific knowledge with machine learning for engineering and environmental systems,"['J Willard', 'X Jia', 'S Xu', 'M Steinbach', 'V Kumar']",,2022,from other works that focus on more general knowledge integration into machine learning  [7 and machine learning to better inform human decisions on environmental or engineering,https://dl.acm.org/doi/full/10.1145/3514228,452
Machine learning techniques for civil engineering problems,['Y Reich'],,1997,for advanced data analysis techniques from machine learning (ML) research. Practical   in the context of civil engineering. The state of applied ML in civil engineering is reviewed (,https://onlinelibrary.wiley.com/doi/pdf/10.1111/0885-9507.00065,204
Evaluating machine learning models for engineering problems,"['Y Reich', 'SV Barai']",,1999,"(ML), and in particular, artificial neural networks (ANN), in engineering applications  in  engineering applications through a survey we conducted of articles published in AI in Engineering",https://www.academia.edu/download/45124480/nnpaper1.pdf,234
Software engineering for machine learning: A case study,"['S Amershi', 'A Begel', 'C Bird', 'R DeLine']",,2019,"always require deep enough knowledge of machine learning to build, evaluate, and tune   machine learning components than for software engineering modules. Machine learning",https://www.microsoft.com/en-us/research/uploads/prod/2019/03/amershi-icse-2019_Software_Engineering_for_Machine_Learning.pdf,1024
Machine learning for structural engineering: A state-of-the-art review,['HT Thai'],,2022,"Machine learning (ML) has become the most successful branch of artificial intelligence (AI).  It provides a unique opportunity to make structural engineering  ML in structural engineering,",https://www.sciencedirect.com/science/article/pii/S2352012422000947,405
Machine learning: new ideas and tools in environmental science and engineering,"['S Zhong', 'K Zhang', 'M Bagheri', 'JG Burken']",,2021,Machine learning has the potential to revolutionize data analysis and modeling in the  environmental science and engineering (ESE for applications of machine learning in the ESE field.,https://pubs.acs.org/doi/full/10.1021/acs.est.1c01339,663
Machine learning and software engineering,"['D Zhang', 'JJP Tsai']",,2003,as learning problems and approached in terms of learning algorithms. This paper deals with  the subject of applying machine learning in software engineering.  utilized machine learning,https://link.springer.com/content/pdf/10.1023/A:1023760326768.pdf,270
Machine learning in biomedical engineering,"['C Park', 'CC Took', 'JK Seong']",,2018,supervised learning and unsupervised learning.  machine learning tasks in the biomedical  engineering field from classification (supervised learning) to clustering (unsupervised learning,https://link.springer.com/article/10.1007/s13534-018-0058-3,157
Machine learning in chemical engineering: A perspective,"['AM Schweidtmann', 'E Esche', 'A Fischer']",,2021,"He is interested in theory and algorithms of statistical machine learning, especially unsupervised  deep learning, and its applications in chemical process engineering. In 2014, he was",https://onlinelibrary.wiley.com/doi/full/10.1002/cite.202100083,156
A review of physics-based machine learning in civil engineering,"['SR Vadyala', 'SN Betgeri', 'JC Matthews']",,2022,The recent development of machine learning (ML) and Deep Learning (DL) increases the   to civil engineering problems can be challenging. ML for civil engineering applications that are,https://www.sciencedirect.com/science/article/pii/S2590123021001171,169
