subject_area,subject_area_code
Multidisciplinary,1049
 Infectious Diseases,673
Medicine (all),663
Chemistry (all),655
 Electrical and Electronic Engineering,634
 Computer Science Applications,622
 Materials Chemistry,562
 Organic Chemistry,533
 Computer Networks and Communications,529
Materials Science (all),525
 Energy Engineering and Power Technology,498
 Condensed Matter Physics,494
" Public Health, Environmental and Occupational Health",491
Analytical Chemistry,477
 Chemical Engineering (all),461
 Physical and Theoretical Chemistry,454
 Molecular Biology,442
Nuclear and High Energy Physics,421
 Mechanical Engineering,416
 Mechanics of Materials,415
 Biochemistry,384
 Materials Science (all),382
 Polymers and Plastics,367
 Drug Discovery,357
 Engineering (all),345
"Ecology, Evolution, Behavior and Systematics",336
"Renewable Energy, Sustainability and the Environment",335
Veterinary (all),324
Biotechnology,323
Surgery,322
" Renewable Energy, Sustainability and the Environment",315
 Pharmaceutical Science,314
 Pollution,314
Food Science,312
Environmental Engineering,311
Catalysis,310
 Fuel Technology,306
 Computer Vision and Pattern Recognition,301
Chemical Engineering (all),294
 Immunology,291
Artificial Intelligence,290
Engineering (all),290
 Instrumentation,287
Immunology and Allergy,287
 Pharmacology (medical),284
 Waste Management and Disposal,276
 Environmental Chemistry,267
 Hardware and Architecture,266
 Plant Science,266
 Information Systems,265
Physics and Astronomy (all),264
 Neurology (clinical),258
"Electronic, Optical and Magnetic Materials",251
 Chemistry (all),250
Pharmacology,246
 Building and Construction,245
 Industrial and Manufacturing Engineering,243
Microbiology,243
 Process Chemistry and Technology,239
 Information Systems and Management,237
 Animal Science and Zoology,236
Education,233
 Spectroscopy,226
 Pharmacology,223
" Surfaces, Coatings and Films",223
"Biochemistry, Genetics and Molecular Biology (all)",223
Civil and Structural Engineering,216
Biochemistry,213
" Health, Toxicology and Mutagenesis",209
 Cancer Research,207
Software,206
" Management, Monitoring, Policy and Law",203
 Genetics,198
 Molecular Medicine,198
 Human-Computer Interaction,196
 Control and Optimization,194
 Environmental Science (all),194
 Strategy and Management,190
Dentistry (all),190
 Microbiology (medical),188
"Pediatrics, Perinatology and Child Health",188
 Veterinary (all),183
 Artificial Intelligence,181
Environmental Science (all),181
Social Sciences (all),177
"Public Health, Environmental and Occupational Health",173
" Biochemistry, Genetics and Molecular Biology (all)",169
Health Policy,168
 Biomedical Engineering,167
 Cell Biology,166
 Inorganic Chemistry,166
Computer Science (all),164
