citation_title,author1,author2
Public health and international epidemiology for radiology,Pongpirul Krit,Lungren Matthew P.
Flexible Printed Active Antenna for Digital Television Reception,Pratumsiri Teerapong,Janpugdee Panuwat
Parametric study of hydrogen production via sorption enhanced steam methane reforming in a circulating fluidized bed riser,Phuakpunk Kiattikhoon,Chalermsinsuwan Benjapon
Parametric study of hydrogen production via sorption enhanced steam methane reforming in a circulating fluidized bed riser,Phuakpunk Kiattikhoon,Putivisutisak Sompong
Parametric study of hydrogen production via sorption enhanced steam methane reforming in a circulating fluidized bed riser,Phuakpunk Kiattikhoon,Assabumrungrat Suttichai
Parametric study of hydrogen production via sorption enhanced steam methane reforming in a circulating fluidized bed riser,Chalermsinsuwan Benjapon,Putivisutisak Sompong
Parametric study of hydrogen production via sorption enhanced steam methane reforming in a circulating fluidized bed riser,Chalermsinsuwan Benjapon,Assabumrungrat Suttichai
Parametric study of hydrogen production via sorption enhanced steam methane reforming in a circulating fluidized bed riser,Putivisutisak Sompong,Assabumrungrat Suttichai
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,Saengkaew Jittraporn,Le Duy
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,Saengkaew Jittraporn,Samart Chanatip
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,Saengkaew Jittraporn,Sawada Hideo
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,Saengkaew Jittraporn,Nishida Masakazu
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,Saengkaew Jittraporn,Chanlek Narong
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,Saengkaew Jittraporn,Kongparakul Suwadee
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,Saengkaew Jittraporn,Kiatkamjornwong Suda
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,Le Duy,Samart Chanatip
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,Le Duy,Sawada Hideo
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,Le Duy,Nishida Masakazu
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,Le Duy,Chanlek Narong
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,Le Duy,Kongparakul Suwadee
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,Le Duy,Kiatkamjornwong Suda
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,Samart Chanatip,Sawada Hideo
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,Samart Chanatip,Nishida Masakazu
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,Samart Chanatip,Chanlek Narong
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,Samart Chanatip,Kongparakul Suwadee
